Dataset,Model,Resampling,Distribution,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,knn,bootstrap,balanced,4,5804,0,2511,1933,0,836,Description,200,262,344,574,753,0.432343234323432,0.432554634513941,0.432448934418687,0.432343234323432,0.258128078817734,0.323257248611968
Eclipse,knn,bootstrap,balanced,8,5803,3075,2728,1934,1025,909,Description,200,554,468,471,441,0.542074363992172,0.516447368421053,0.529260866206613,0.542074363992172,0.55678391959799,0.549330689142291
Eclipse,knn,bootstrap,balanced,12,5803,3318,2485,1934,1106,828,Description,200,724,505,382,323,0.589096826688364,0.541843971631206,0.565470399159785,0.589096826688364,0.691499522445081,0.636203866432337
Eclipse,knn,bootstrap,balanced,16,5803,3555,2248,1934,1185,749,Description,200,768,478,417,271,0.61637239165329,0.606104651162791,0.611238521408041,0.61637239165329,0.739172281039461,0.672210065645514
Eclipse,knn,bootstrap,balanced,20,5804,3702,2102,1933,1233,700,Description,200,930,490,303,210,0.654929577464789,0.590643274853801,0.622786426159295,0.654929577464789,0.815789473684211,0.7265625
Eclipse,knn,bootstrap,balanced,24,5804,3861,1943,1933,1286,647,Description,200,1043,507,243,140,0.672903225806452,0.634464751958224,0.653683988882338,0.672903225806452,0.881656804733728,0.76326381266008
