Dataset,Model,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,rf,64,5606,4474,1132,1868,1491,377,Summary,200,1490,375,1,2,0.798927613941019,0.333333333333333,0.566130473637176,0.798927613941019,0.998659517426273,0.887697348823354
Eclipse,rf,128,5606,4896,710,1868,1632,236,Summary,200,1632,236,0,0,0.873661670235546,NA,NA,0.873661670235546,1,0.932571428571429
Eclipse,rf,256,5607,5250,357,1867,1749,118,Summary,200,1749,118,0,0,0.936797000535619,NA,NA,0.936797000535619,1,0.967367256637168
Eclipse,rf,512,5607,5508,99,1867,1835,32,Summary,200,1835,32,0,0,0.982860203535083,NA,NA,0.982860203535083,1,0.991356023770935
Eclipse,svm,4,5607,2451,3156,1867,816,1051,Summary,200,28,25,788,1026,0.528301886792453,0.434399117971334,0.481350502381893,0.528301886792453,0.0265654648956357,0.050587172538392
Eclipse,svm,8,5607,3000,2607,1867,999,868,Summary,200,747,630,252,238,0.542483660130719,0.514285714285714,0.528384687208217,0.542483660130719,0.758375634517766,0.632514817950889
Eclipse,svm,16,5606,3465,2141,1868,1155,713,Summary,200,1155,713,0,0,0.61830835117773,NA,NA,0.61830835117773,1,0.764141581210718
Eclipse,svm,32,5607,3972,1635,1867,1323,544,Summary,200,1323,544,0,0,0.708623460096411,NA,NA,0.708623460096411,1,0.829467084639498
Eclipse,svm,64,5606,4474,1132,1868,1491,377,Summary,200,1490,376,1,1,0.798499464094319,0.5,0.64924973204716,0.798499464094319,0.999329309188464,0.887697348823354
Eclipse,svm,128,5606,4896,710,1868,1632,236,Summary,200,1632,236,0,0,0.873661670235546,NA,NA,0.873661670235546,1,0.932571428571429
Eclipse,svm,256,5607,5250,357,1867,1749,118,Summary,200,1749,118,0,0,0.936797000535619,NA,NA,0.936797000535619,1,0.967367256637168
Eclipse,svm,512,5607,5508,99,1867,1835,32,Summary,200,1835,32,0,0,0.982860203535083,NA,NA,0.982860203535083,1,0.991356023770935
Eclipse,knn,4,5952,2595,3357,1983,865,1118,Description_Summary,200,302,302,563,816,0.5,0.40826686004351,0.454133430021755,0.5,0.270125223613596,0.35075493612079
Eclipse,knn,8,5952,3174,2778,1983,1058,925,Description_Summary,200,525,416,533,509,0.557917109458023,0.511516314779271,0.534716712118647,0.557917109458023,0.507736943907157,0.531645569620253
Eclipse,knn,16,5952,3665,2287,1983,1221,762,Description_Summary,200,813,464,408,298,0.63664839467502,0.577903682719547,0.607276038697283,0.63664839467502,0.731773177317732,0.680904522613065
Eclipse,knn,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1201,500,200,82,0.706055261610817,0.709219858156028,0.707637559883423,0.706055261610817,0.936087295401403,0.804959785522788
Eclipse,knn,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1492,369,87,35,0.801719505642128,0.713114754098361,0.757417129870244,0.801719505642128,0.977079240340537,0.880755608028335
Eclipse,knn,128,5952,5191,761,1983,1730,253,Description_Summary,200,1705,246,25,7,0.873910814966684,0.78125,0.827580407483342,0.873910814966684,0.995911214953271,0.930930930930931
Eclipse,knn,256,5952,5571,381,1983,1856,127,Description_Summary,200,1855,127,1,0,0.935923309788093,1,0.967961654894046,0.935923309788093,1,0.966901224915298
Eclipse,knn,512,5952,5844,108,1983,1947,36,Description_Summary,200,1947,36,0,0,0.981845688350983,NA,NA,0.981845688350983,1,0.990839694656489
Eclipse,rf,4,5952,2595,3357,1983,865,1118,Description_Summary,200,280,246,585,872,0.532319391634981,0.401509951956074,0.466914671795528,0.532319391634981,0.243055555555556,0.33373063170441
Eclipse,rf,8,5952,3174,2778,1983,1058,925,Description_Summary,200,775,587,283,338,0.569016152716593,0.455716586151369,0.512366369433981,0.569016152716593,0.696316262353998,0.626262626262626
Eclipse,rf,16,5952,3665,2287,1983,1221,762,Description_Summary,200,1158,694,63,68,0.625269978401728,0.480916030534351,0.55309300446804,0.625269978401728,0.944535073409462,0.752436647173489
Eclipse,rf,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1397,577,4,5,0.707700101317123,0.444444444444444,0.576072272880783,0.707700101317123,0.996433666191155,0.82760663507109
Eclipse,rf,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1579,404,0,0,0.796268280383258,NA,NA,0.796268280383258,1,0.88658057271196
Eclipse,rf,128,5952,5191,761,1983,1730,253,Description_Summary,200,1730,253,0,0,0.872415532022189,NA,NA,0.872415532022189,1,0.931861028817668
Eclipse,rf,256,5952,5571,381,1983,1856,127,Description_Summary,200,1856,127,0,0,0.935955622793747,NA,NA,0.935955622793747,1,0.966918468351133
Eclipse,rf,512,5952,5844,108,1983,1947,36,Description_Summary,200,1947,36,0,0,0.981845688350983,NA,NA,0.981845688350983,1,0.990839694656489
Eclipse,svm,4,5952,2595,3357,1983,865,1118,Description_Summary,200,221,184,644,934,0.545679012345679,0.408111533586819,0.476895272966249,0.545679012345679,0.191341991341991,0.283333333333333
Eclipse,svm,8,5952,3174,2778,1983,1058,925,Description_Summary,200,827,642,231,283,0.562968005445882,0.449416342412451,0.506192173929166,0.562968005445882,0.745045045045045,0.641333850329585
Eclipse,svm,16,5952,3665,2287,1983,1221,762,Description_Summary,200,1221,761,0,1,0.616044399596367,0,0.308022199798184,0.616044399596367,0.999181669394435,0.762172284644195
Eclipse,svm,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1401,581,0,1,0.70686175580222,0,0.35343087790111,0.70686175580222,0.999286733238231,0.828014184397163
Eclipse,svm,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1579,404,0,0,0.796268280383258,NA,NA,0.796268280383258,1,0.88658057271196
Eclipse,svm,128,5952,5191,761,1983,1730,253,Description_Summary,200,1729,252,1,1,0.872791519434629,0.5,0.686395759717314,0.872791519434629,0.999421965317919,0.93182430611695
Eclipse,svm,256,5952,5571,381,1983,1856,127,Description_Summary,200,1856,127,0,0,0.935955622793747,NA,NA,0.935955622793747,1,0.966918468351133
Eclipse,svm,512,5952,5844,108,1983,1947,36,Description_Summary,200,1947,36,0,0,0.981845688350983,NA,NA,0.981845688350983,1,0.990839694656489
