Dataset,Model,Resampling,Threshold,Train_Size,Train_Qt_Class_0,Train_Qt_Class_1,Test_Size,Test_Qt_Class_0,Test_Qt_Class_1,Feature,N_Terms,Tp,Fp,Tn,Fn,Acc_0,Acc_1,Balanced_Acc,Precision,Recall,Fmeasure
Eclipse,rf,cv 5x2,8,5607,3000,2607,1867,999,868,Summary,200,787,662,212,206,0.543133195307108,0.507177033492823,0.525155114399966,0.543133195307108,0.792547834843907,0.644553644553645
Eclipse,rf,cv 5x2,16,5606,3465,2141,1868,1155,713,Summary,200,1087,652,68,61,0.625071880391029,0.527131782945736,0.576101831668383,0.625071880391029,0.946864111498258,0.753030827848978
Eclipse,rf,cv 5x2,32,5607,3972,1635,1867,1323,544,Summary,200,1309,540,14,4,0.707950243374797,0.777777777777778,0.742864010576287,0.707950243374797,0.996953541507997,0.827956989247312
Eclipse,rf,cv 5x2,64,5606,4474,1132,1868,1491,377,Summary,200,1490,375,1,2,0.798927613941019,0.333333333333333,0.566130473637176,0.798927613941019,0.998659517426273,0.887697348823354
Eclipse,rf,cv 5x2,128,5606,4896,710,1868,1632,236,Summary,200,1632,236,0,0,0.873661670235546,NA,NA,0.873661670235546,1,0.932571428571429
Eclipse,rf,cv 5x2,256,5607,5250,357,1867,1749,118,Summary,200,1749,118,0,0,0.936797000535619,NA,NA,0.936797000535619,1,0.967367256637168
Eclipse,rf,cv 5x2,512,5607,5508,99,1867,1835,32,Summary,200,1835,32,0,0,0.982860203535083,NA,NA,0.982860203535083,1,0.991356023770935
Eclipse,svm,cv 5x2,4,5607,2451,3156,1867,816,1051,Summary,200,175,178,641,873,0.495750708215297,0.42338177014531,0.459566239180304,0.495750708215297,0.166984732824427,0.249821556031406
Eclipse,svm,cv 5x2,8,5607,3000,2607,1867,999,868,Summary,200,700,578,299,290,0.54773082942097,0.507640067911715,0.527685448666342,0.54773082942097,0.707070707070707,0.617283950617284
Eclipse,svm,cv 5x2,16,5606,3465,2141,1868,1155,713,Summary,200,1142,710,13,3,0.616630669546436,0.8125,0.714565334773218,0.616630669546436,0.997379912663755,0.762095428762095
Eclipse,svm,cv 5x2,32,5607,3972,1635,1867,1323,544,Summary,200,1322,542,1,2,0.709227467811159,0.333333333333333,0.521280400572246,0.709227467811159,0.998489425981873,0.829360100376412
Eclipse,svm,cv 5x2,64,5606,4474,1132,1868,1491,377,Summary,200,1490,376,1,1,0.798499464094319,0.5,0.64924973204716,0.798499464094319,0.999329309188464,0.887697348823354
Eclipse,svm,cv 5x2,128,5606,4896,710,1868,1632,236,Summary,200,1632,236,0,0,0.873661670235546,NA,NA,0.873661670235546,1,0.932571428571429
Eclipse,svm,cv 5x2,256,5607,5250,357,1867,1749,118,Summary,200,1749,118,0,0,0.936797000535619,NA,NA,0.936797000535619,1,0.967367256637168
Eclipse,svm,cv 5x2,512,5607,5508,99,1867,1835,32,Summary,200,1835,32,0,0,0.982860203535083,NA,NA,0.982860203535083,1,0.991356023770935
Eclipse,knn,cv 5x2,4,5952,2595,3357,1983,865,1118,Description_Summary,200,302,302,563,816,0.5,0.40826686004351,0.454133430021755,0.5,0.270125223613596,0.35075493612079
Eclipse,knn,cv 5x2,8,5952,3174,2778,1983,1058,925,Description_Summary,200,526,418,532,507,0.557203389830508,0.512030798845043,0.534617094337776,0.557203389830508,0.50919651500484,0.532119372787051
Eclipse,knn,cv 5x2,16,5952,3665,2287,1983,1221,762,Description_Summary,200,812,463,409,299,0.636862745098039,0.577683615819209,0.607273180458624,0.636862745098039,0.730873087308731,0.680637049455155
Eclipse,knn,cv 5x2,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1201,499,200,83,0.706470588235294,0.706713780918728,0.706592184577011,0.706470588235294,0.935358255451713,0.804959785522788
Eclipse,knn,cv 5x2,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1492,369,87,35,0.801719505642128,0.713114754098361,0.757417129870244,0.801719505642128,0.977079240340537,0.880755608028335
Eclipse,knn,cv 5x2,128,5952,5191,761,1983,1730,253,Description_Summary,200,1705,246,25,7,0.873910814966684,0.78125,0.827580407483342,0.873910814966684,0.995911214953271,0.930930930930931
Eclipse,knn,cv 5x2,256,5952,5571,381,1983,1856,127,Description_Summary,200,1855,127,1,0,0.935923309788093,1,0.967961654894046,0.935923309788093,1,0.966901224915298
Eclipse,knn,cv 5x2,512,5952,5844,108,1983,1947,36,Description_Summary,200,1947,36,0,0,0.981845688350983,NA,NA,0.981845688350983,1,0.990839694656489
Eclipse,rf,cv 5x2,4,5952,2595,3357,1983,865,1118,Description_Summary,200,267,237,598,881,0.529761904761905,0.404327248140636,0.46704457645127,0.529761904761905,0.232578397212544,0.323244552058111
Eclipse,rf,cv 5x2,8,5952,3174,2778,1983,1058,925,Description_Summary,200,777,563,281,362,0.579850746268657,0.43701399688958,0.508432371579118,0.579850746268657,0.682177348551361,0.626865671641791
Eclipse,rf,cv 5x2,16,5952,3665,2287,1983,1221,762,Description_Summary,200,1162,700,59,62,0.62406015037594,0.487603305785124,0.555831728080532,0.62406015037594,0.949346405228758,0.753078418664938
Eclipse,rf,cv 5x2,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1397,577,4,5,0.707700101317123,0.444444444444444,0.576072272880783,0.707700101317123,0.996433666191155,0.82760663507109
Eclipse,rf,cv 5x2,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1579,404,0,0,0.796268280383258,NA,NA,0.796268280383258,1,0.88658057271196
Eclipse,rf,cv 5x2,128,5952,5191,761,1983,1730,253,Description_Summary,200,1730,253,0,0,0.872415532022189,NA,NA,0.872415532022189,1,0.931861028817668
Eclipse,rf,cv 5x2,256,5952,5571,381,1983,1856,127,Description_Summary,200,1856,127,0,0,0.935955622793747,NA,NA,0.935955622793747,1,0.966918468351133
Eclipse,rf,cv 5x2,512,5952,5844,108,1983,1947,36,Description_Summary,200,1947,36,0,0,0.981845688350983,NA,NA,0.981845688350983,1,0.990839694656489
Eclipse,svm,cv 5x2,4,5952,2595,3357,1983,865,1118,Description_Summary,200,274,240,591,878,0.533073929961089,0.402314499659632,0.467694214810361,0.533073929961089,0.237847222222222,0.328931572629052
Eclipse,svm,cv 5x2,8,5952,3174,2778,1983,1058,925,Description_Summary,200,734,546,324,379,0.5734375,0.460881934566145,0.517159717283073,0.5734375,0.65947888589398,0.613455913079816
Eclipse,svm,cv 5x2,16,5952,3665,2287,1983,1221,762,Description_Summary,200,1180,713,41,49,0.623349181193872,0.455555555555556,0.539452368374714,0.623349181193872,0.96013018714402,0.755925688661115
Eclipse,svm,cv 5x2,32,5952,4204,1748,1983,1401,582,Description_Summary,200,1399,578,2,4,0.707637835103692,0.333333333333333,0.520485584218513,0.707637835103692,0.997148966500356,0.827810650887574
Eclipse,svm,cv 5x2,64,5952,4740,1212,1983,1579,404,Description_Summary,200,1579,404,0,0,0.796268280383258,NA,NA,0.796268280383258,1,0.88658057271196
Eclipse,svm,cv 5x2,128,5952,5191,761,1983,1730,253,Description_Summary,200,1730,253,0,0,0.872415532022189,NA,NA,0.872415532022189,1,0.931861028817668
Eclipse,svm,cv 5x2,256,5952,5571,381,1983,1856,127,Description_Summary,200,1856,127,0,0,0.935955622793747,NA,NA,0.935955622793747,1,0.966918468351133
Eclipse,svm,cv 5x2,512,5952,5844,108,1983,1947,36,Description_Summary,200,1947,36,0,0,0.981845688350983,NA,NA,0.981845688350983,1,0.990839694656489
