line
 i = 1, k = 2, dunn = 0.0001152831
 i = 3, k = 7, dunn = 0.0000814248
 i = 1, k = 8, dunn = 0.0000813234
 i = 2, k = 8, dunn = 0.0000814248
 i = 3, k = 8, dunn = 0.0000814248
 i = 1, k = 9, dunn = 0.0000813234
 i = 2, k = 9, dunn = 0.0000814248
 i = 3, k = 9, dunn = 0.0000814248
 i = 1, k = 10, dunn = 0.0000735722
 i = 2, k = 10, dunn = 0.0000171204
 i = 3, k = 10, dunn = 0.0000814248
 max.ki = 2, max.dunn = 0.0000814248
 e = 5, max.ki = 2, max.dunn = 0.3688061859
 max.ke = 2, max.rand = 0.3697004991
