Classifier,C,Sigma,Mtry,Ntree,Size,Decay,Depth,Ntrees,Shrinkage,Nminobsinnode,SampleMethod,Observations,Accuracy,Precision,Recall,F1.Score,TimeTaken
nnet,,,,,,,,,,,1/2,5000,0.811,0.793950850661626,0.84,0.816326530612245,5.357068836689
rf,,,,,,,,,,,1/2,5000,0.964,0.997854077253219,0.93,0.962732919254658,1.29920868078868
svm,,,,,,,,,,,1/2,5000,0.992,0.993975903614458,0.99,0.991983967935872,6.23772614796956
gbm,,,,,,,5,100,0.1,10,proportional,5000,0.92,0.941860465116279,0.972707423580786,0.95703544575725,32.1151170730591
nnet,,,,,,,,,,,proportional,5000,0.914,0.930497925311203,0.979257641921397,0.954255319148936,5.96121550003688
rf,,,,,,,,,,,proportional,5000,0.956,0.968817204301075,0.983624454148472,0.976164680390033,1.18667751550674
svm,,,,,,,,,,,proportional,5000,0.964,0.96218487394958,1,0.980728051391863,4.34597965081533
gbm,,,,,,,5,100,0.5,10,random,6000,0.930833333333333,0.948627103631532,0.977189781021898,0.962696629213483,37.9140591621399
nnet,,,,,,,,,,,random,6000,0.9275,0.935289042277826,0.989051094890511,0.961419068736142,5.54614061514537
rf,,,,,,,,,,,random,6000,0.9525,0.957709251101322,0.991788321167883,0.974450918870462,1.45910729964574
svm,,,,,,,,,,,random,6000,0.9625,0.962181178540018,0.998175182481752,0.979847738468428,5.89152011473974
gbm,,,,,,,5,100,0.5,10,1/2,6000,0.895,0.91578947368421,0.87,0.892307692307692,38.8864889144897
nnet,,,,,,,,,,,1/2,6000,0.794166666666667,0.78060413354531,0.818333333333333,0.799023596419854,6.1543659845988
rf,,,,,,,,,,,1/2,6000,0.9625,0.998204667863555,0.926666666666667,0.961106309420916,1.6172988653183
svm,,,,,,,,,,,1/2,6000,0.996666666666667,0.996666666666667,0.996666666666667,0.996666666666667,8.50256771643956
gbm,,,,,,,5,100,0.1,10,proportional,6000,0.935779816513762,0.942807625649913,0.989990900818926,0.965823346648913,37.7513961791992
nnet,,,,,,,,,,,proportional,6000,0.926605504587156,0.937662337662338,0.985441310282075,0.960958296362023,5.822500983874
rf,,,,,,,,,,,proportional,6000,0.957464553794829,0.967857142857143,0.986351228389445,0.977016674177558,1.50357576608658
svm,,,,,,,,,,,proportional,6000,0.960800667222686,0.960595446584939,0.998180163785259,0.979027219991075,6.15489130020142
