dataset,classifier,resampling,distribution,threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_terms,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,bootstrap,balanced,4,5616,2808,2808,1872,936,936,long_description,200,447,415,489,521,0.518561484918794,0.484158415841584,0.501359950380189,0.518561484918794,0.461776859504132,0.488524590163934
Eclipse,knn,bootstrap,balanced,8,5616,2808,2808,1872,936,936,long_description,200,429,383,507,553,0.528325123152709,0.478301886792453,0.503313504972581,0.528325123152709,0.436863543788187,0.478260869565217
Eclipse,knn,bootstrap,balanced,12,5616,2808,2808,1872,936,936,long_description,200,428,391,508,545,0.522588522588523,0.482431149097816,0.502509835843169,0.522588522588523,0.439876670092497,0.477678571428571
Eclipse,knn,bootstrap,balanced,16,5616,2808,2808,1872,936,936,long_description,200,384,347,552,589,0.52530779753762,0.483786152497809,0.504546975017714,0.52530779753762,0.394655704008222,0.450704225352113
Eclipse,knn,bootstrap,balanced,20,5616,2808,2808,1872,936,936,long_description,200,415,423,521,513,0.495226730310263,0.503868471953578,0.49954760113192,0.495226730310263,0.447198275862069,0.469988674971687
Eclipse,knn,bootstrap,balanced,24,5616,2808,2808,1872,936,936,long_description,200,427,396,509,540,0.518833535844471,0.485224022878932,0.502028779361702,0.518833535844471,0.441571871768356,0.477094972067039
Eclipse,knn,bootstrap,balanced,28,5616,2808,2808,1872,936,936,long_description,200,420,406,516,530,0.508474576271186,0.493307839388145,0.500891207829666,0.508474576271186,0.442105263157895,0.472972972972973
Eclipse,knn,cv52,balanced,4,5616,2808,2808,1872,936,936,long_description,200,444,408,492,528,0.52112676056338,0.482352941176471,0.501739850869925,0.52112676056338,0.45679012345679,0.486842105263158
Eclipse,knn,cv52,balanced,8,5616,2808,2808,1872,936,936,long_description,200,420,406,516,530,0.508474576271186,0.493307839388145,0.500891207829666,0.508474576271186,0.442105263157895,0.472972972972973
Eclipse,knn,cv52,balanced,12,5616,2808,2808,1872,936,936,long_description,200,413,400,523,536,0.5079950799508,0.493862134088763,0.500928607019781,0.5079950799508,0.435194942044257,0.468785471055619
Eclipse,knn,cv52,balanced,16,5616,2808,2808,1872,936,936,long_description,200,359,342,577,594,0.512125534950071,0.492741246797609,0.50243339087384,0.512125534950071,0.376705141657922,0.43409915356711
Eclipse,knn,cv52,balanced,20,5616,2808,2808,1872,936,936,long_description,200,417,426,519,510,0.494661921708185,0.504373177842566,0.499517549775375,0.494661921708185,0.449838187702265,0.471186440677966
Eclipse,knn,cv52,balanced,24,5616,2808,2808,1872,936,936,long_description,200,436,401,500,535,0.520908004778972,0.483091787439614,0.501999896109293,0.520908004778972,0.449021627188465,0.482300884955752
Eclipse,knn,cv52,balanced,28,5616,2808,2808,1872,936,936,long_description,200,420,406,516,530,0.508474576271186,0.493307839388145,0.500891207829666,0.508474576271186,0.442105263157895,0.472972972972973
Eclipse,rf,bootstrap,balanced,4,5616,2808,2808,1872,936,936,long_description,200,536,416,400,520,0.563025210084034,0.434782608695652,0.498903909389843,0.563025210084034,0.507575757575758,0.533864541832669
