dataset,classifier,resampling,distribution,threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_terms,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Eclipse,knn,bootstrap,balanced,4,4080,2040,2040,1358,679,679,long_description,200,279,225,400,454,0.5535714285714286,0.468384074941452,0.5109777517564403,0.5535714285714286,0.3806275579809004,0.4510913500404204
Eclipse,knn,bootstrap,balanced,8,4080,2040,2040,1358,679,679,long_description,200,296,249,383,430,0.5431192660550459,0.4710947109471095,0.5071069885010777,0.5431192660550459,0.40771349862258954,0.4657749803304485
Eclipse,knn,bootstrap,balanced,12,4080,2040,2040,1358,679,679,long_description,200,300,240,379,439,0.5555555555555556,0.4633251833740831,0.5094403694648193,0.5555555555555556,0.4059539918809202,0.46911649726348714
Eclipse,knn,bootstrap,balanced,16,4080,2040,2040,1358,679,679,long_description,200,266,220,413,459,0.5473251028806584,0.4736238532110092,0.5104744780458338,0.5473251028806584,0.36689655172413793,0.4393063583815029
Eclipse,knn,bootstrap,balanced,20,4080,2040,2040,1358,679,679,long_description,200,266,239,413,440,0.5267326732673268,0.48417350527549824,0.5054530892714125,0.5267326732673268,0.37677053824362605,0.4393063583815029
