dataset,classifier,resampling,balancing,threshold,fixed_threshold,train_size,train_size_class_0,train_size_class_1,test_size,test_size_class_0,test_size_class_1,feature,n_term,tp,fp,tn,fn,acc_class_0,acc_class_1,balanced_acc,precision,recall,fmeasure
Netbeans,knn,boot,custom,4,64,2130,1065,1065,708,354,354,short_long_description,200,222,183,132,171,0.5481481481481482,0.43564356435643564,0.49189585625229193,0.5481481481481482,0.5648854961832062,0.5563909774436091
Netbeans,knn,boot,downsample,4,64,2130,1065,1065,708,354,354,short_long_description,200,222,183,132,171,0.5481481481481482,0.43564356435643564,0.49189585625229193,0.5481481481481482,0.5648854961832062,0.5563909774436091
Netbeans,knn,boot,smote,4,64,2283,1065,1218,760,354,406,short_long_description,200,187,186,167,220,0.5013404825737265,0.4315245478036176,0.46643251518867207,0.5013404825737265,0.4594594594594595,0.47948717948717945
